SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
1.000000, 0.354370, 0.368164, 2.761342, 0.844753
1.500000, 0.343262, 0.357056, 2.352770, 0.821684
2.000000, 0.326782, 0.348389, 1.755775, 0.803269
2.500000, 0.320679, 0.336182, 1.802764, 0.782388
3.000000, 0.293335, 0.315430, 2.110881, 0.755918
3.500000, 0.297485, 0.315308, 1.855972, 0.748134
4.000000, 0.279419, 0.294067, 4.596815, 0.715430
4.500000, 0.264526, 0.277954, 1.890842, 0.691068
5.000000, 0.254395, 0.270630, 1.514860, 0.667493
5.500000, 0.238159, 0.254761, 1.447715, 0.648130
6.000000, 0.223267, 0.236450, 1.150808, 0.624272
6.500000, 0.212158, 0.229248, 1.323756, 0.601469
7.000000, 0.203369, 0.213501, 1.064167, 0.576564
7.500000, 0.179932, 0.196533, 1.211519, 0.551134
8.000000, 0.175781, 0.189087, 0.974812, 0.538113
8.500000, 0.171265, 0.172119, 0.806274, 0.508772
9.000000, 0.162476, 0.174438, 0.902759, 0.497163
9.500000, 0.143433, 0.152832, 0.715183, 0.473456
10.000000, 0.125854, 0.131836, 0.735264, 0.445391
10.500000, 0.122314, 0.126709, 0.672447, 0.432995
11.000000, 0.103516, 0.114502, 0.566597, 0.411596
11.500000, 0.099731, 0.104614, 0.535013, 0.393122
12.000000, 0.088135, 0.096558, 0.513964, 0.378647
12.500000, 0.078735, 0.082397, 0.421822, 0.352409
13.000000, 0.076050, 0.079834, 0.428998, 0.351559
13.500000, 0.065552, 0.068359, 0.401717, 0.329732
14.000000, 0.055176, 0.058472, 0.377838, 0.316703
14.500000, 0.047119, 0.050293, 0.386956, 0.297212
15.000000, 0.043213, 0.045532, 0.307923, 0.276696
15.500000, 0.033447, 0.036621, 0.292048, 0.261641
16.000000, 0.030396, 0.031006, 0.286477, 0.257589
16.500000, 0.023560, 0.026123, 0.252655, 0.236380
17.000000, 0.021973, 0.022949, 0.247579, 0.228589
17.500000, 0.018555, 0.019287, 0.236187, 0.221561
18.000000, 0.014282, 0.014648, 0.221741, 0.208269
18.500000, 0.011475, 0.012695, 0.207185, 0.195578
19.000000, 0.008545, 0.009033, 0.191190, 0.183075
19.500000, 0.006836, 0.008301, 0.179481, 0.172323
20.000000, 0.005615, 0.007080, 0.172196, 0.166633
20.500000, 0.005005, 0.004517, 0.163345, 0.157361
21.000000, 0.003418, 0.003052, 0.153195, 0.148837
21.500000, 0.003052, 0.002686, 0.150533, 0.145075
22.000000, 0.001831, 0.001831, 0.136161, 0.132322
22.500000, 0.001343, 0.001465, 0.130249, 0.127558
23.000000, 0.000854, 0.000732, 0.119454, 0.116944
23.500000, 0.000366, 0.000366, 0.115975, 0.113734
24.000000, 0.000244, 0.000244, 0.107389, 0.105662
24.500000, 0.000000, 0.000000, 0.103973, 0.102508
25.000000, 0.000366, 0.000366, 0.098960, 0.097380
