SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.387354, 0.407513, 2.275029, 0.830386
3.000000, 0.336272, 0.359511, 1.904518, 0.709730
6.000000, 0.275850, 0.297656, 1.222502, 0.579929
9.000000, 0.212114, 0.229635, 0.716105, 0.458221
12.000000, 0.152188, 0.164626, 0.848345, 0.352951
15.000000, 0.099487, 0.107835, 0.380146, 0.267852
18.000000, 0.056622, 0.061442, 0.255786, 0.201273
21.000000, 0.026907, 0.029996, 0.205524, 0.149976
24.000000, 0.011493, 0.013243, 0.129033, 0.111161
27.000000, 0.005260, 0.006523, 0.100051, 0.081565
30.000000, 0.002742, 0.003313, 0.062649, 0.059124
33.000000, 0.001460, 0.001741, 0.042992, 0.042281
36.000000, 0.000646, 0.000814, 0.030056, 0.029927
39.000000, 0.000299, 0.000328, 0.021163, 0.021132
42.000000, 0.000122, 0.000140, 0.014946, 0.014938
