SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.264269, 0.264269, 1.118594, 0.868738
3.000000, 0.165369, 0.165369, 0.914308, 0.737546
6.000000, 0.081152, 0.081152, 0.697394, 0.593633
9.000000, 0.030081, 0.030081, 0.512271, 0.458915
12.000000, 0.009503, 0.009503, 0.369474, 0.344220
15.000000, 0.002663, 0.002663, 0.264392, 0.252559
18.000000, 0.000708, 0.000708, 0.187236, 0.182473
21.000000, 0.000138, 0.000138, 0.132334, 0.130570
24.000000, 0.000020, 0.000020, 0.093666, 0.093010
27.000000, 0.000000, 0.000000, 0.066318, 0.066081
30.000000, 0.000000, 0.000000, 0.046956, 0.046872
33.000000, 0.000000, 0.000000, 0.033245, 0.033217
36.000000, 0.000000, 0.000000, 0.023537, 0.023528
39.000000, 0.000000, 0.000000, 0.016664, 0.016661
42.000000, 0.000000, 0.000000, 0.011798, 0.011797
