SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.232744, 0.232744, 2.487125, 0.832279
3.000000, 0.145391, 0.145391, 2.163263, 0.714275
6.000000, 0.076936, 0.076936, 1.242815, 0.588326
9.000000, 0.037009, 0.037009, 0.872822, 0.470122
12.000000, 0.017836, 0.017836, 0.663661, 0.366510
15.000000, 0.008903, 0.008903, 0.420554, 0.280834
18.000000, 0.004746, 0.004746, 0.276857, 0.212542
21.000000, 0.002300, 0.002300, 0.217000, 0.159063
24.000000, 0.001061, 0.001061, 0.162113, 0.117840
27.000000, 0.000462, 0.000462, 0.102370, 0.086199
30.000000, 0.000216, 0.000216, 0.067571, 0.062567
33.000000, 0.000108, 0.000108, 0.057326, 0.045198
36.000000, 0.000039, 0.000039, 0.033415, 0.032496
39.000000, 0.000020, 0.000020, 0.023636, 0.023275
42.000000, 0.000000, 0.000000, 0.016670, 0.016660
