SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.425867, 0.432390, 0.931068, 0.892943
3.000000, 0.378566, 0.386587, 0.778829, 0.759698
6.000000, 0.310965, 0.321195, 0.604763, 0.599107
9.000000, 0.234969, 0.242597, 0.446605, 0.445043
12.000000, 0.161809, 0.166685, 0.322919, 0.321942
15.000000, 0.100694, 0.104017, 0.231347, 0.230797
18.000000, 0.050960, 0.052317, 0.164930, 0.164670
21.000000, 0.018325, 0.018859, 0.117188, 0.117077
24.000000, 0.003790, 0.003847, 0.083124, 0.083076
27.000000, 0.000431, 0.000402, 0.058911, 0.058890
30.000000, 0.000037, 0.000028, 0.041731, 0.041722
33.000000, 0.000000, 0.000000, 0.029554, 0.029550
36.000000, 0.000000, 0.000000, 0.020927, 0.020925
39.000000, 0.000000, 0.000000, 0.014817, 0.014816
42.000000, 0.000000, 0.000000, 0.010491, 0.010490
