SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.448867, 0.441974, 4.333336, 0.934456
3.000000, 0.418473, 0.407387, 3.604280, 0.844718
6.000000, 0.377981, 0.364246, 2.489121, 0.739645
9.000000, 0.328490, 0.313590, 2.131524, 0.631451
12.000000, 0.271006, 0.258886, 1.239149, 0.527297
15.000000, 0.210612, 0.202746, 0.869620, 0.430754
18.000000, 0.153779, 0.149189, 0.612741, 0.344581
21.000000, 0.103638, 0.101789, 0.485913, 0.270928
24.000000, 0.063099, 0.062238, 0.390436, 0.209692
27.000000, 0.034774, 0.034203, 0.224805, 0.159755
30.000000, 0.018592, 0.018465, 0.141835, 0.120259
33.000000, 0.009841, 0.009687, 0.098815, 0.089588
36.000000, 0.005026, 0.005162, 0.069686, 0.065922
39.000000, 0.002349, 0.002401, 0.049369, 0.047945
42.000000, 0.001090, 0.001095, 0.035028, 0.034568
