SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.407317, 0.415955, 1.121033, 0.865603
3.000000, 0.355393, 0.364771, 0.902215, 0.734024
6.000000, 0.291143, 0.301587, 0.690736, 0.589906
9.000000, 0.222119, 0.230346, 0.503985, 0.454370
12.000000, 0.157757, 0.162960, 0.361128, 0.338367
15.000000, 0.101153, 0.103689, 0.255581, 0.246620
18.000000, 0.054292, 0.055425, 0.181409, 0.177244
21.000000, 0.022434, 0.023388, 0.128430, 0.126613
24.000000, 0.007253, 0.007478, 0.090890, 0.090152
27.000000, 0.001619, 0.001666, 0.064328, 0.064033
30.000000, 0.000299, 0.000290, 0.045531, 0.045412
33.000000, 0.000037, 0.000028, 0.032229, 0.032179
36.000000, 0.000000, 0.000000, 0.022813, 0.022792
39.000000, 0.000000, 0.000000, 0.016149, 0.016140
42.000000, 0.000000, 0.000000, 0.011432, 0.011428
