SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.369703, 0.332046, 4.299994, 0.937824
3.000000, 0.303081, 0.257950, 3.500645, 0.853346
6.000000, 0.227643, 0.182857, 2.734119, 0.754991
9.000000, 0.154344, 0.118711, 2.256381, 0.653124
12.000000, 0.094064, 0.069988, 1.645141, 0.552791
15.000000, 0.053754, 0.039033, 1.057459, 0.457322
18.000000, 0.029240, 0.021462, 0.852240, 0.369934
21.000000, 0.014981, 0.011060, 0.525542, 0.293299
24.000000, 0.007567, 0.005498, 0.407477, 0.228341
27.000000, 0.003710, 0.002663, 0.260063, 0.174822
30.000000, 0.001798, 0.001371, 0.165913, 0.132167
33.000000, 0.000958, 0.000703, 0.118028, 0.099077
36.000000, 0.000403, 0.000349, 0.094021, 0.073697
39.000000, 0.000226, 0.000206, 0.061785, 0.054470
42.000000, 0.000123, 0.000118, 0.043201, 0.040093
