SNR_dB, BER_my, BER_matlab, EVM_my, EVM_matlab
0.000000, 0.291504, 0.291504, 1.011985, 1.011985
0.500000, 0.279053, 0.279053, 0.955760, 0.955760
1.000000, 0.264648, 0.264648, 0.887173, 0.887173
1.500000, 0.250244, 0.250244, 0.857748, 0.857748
2.000000, 0.245361, 0.245361, 0.815257, 0.815257
2.500000, 0.229736, 0.229736, 0.753969, 0.753969
3.000000, 0.220459, 0.220459, 0.706300, 0.706300
3.500000, 0.188232, 0.188232, 0.651906, 0.651906
4.000000, 0.190430, 0.190430, 0.628039, 0.628039
4.500000, 0.173096, 0.173096, 0.608032, 0.608032
5.000000, 0.167725, 0.167725, 0.586438, 0.586438
5.500000, 0.148438, 0.148438, 0.520053, 0.520053
6.000000, 0.141357, 0.141357, 0.505822, 0.505822
6.500000, 0.129395, 0.129395, 0.468729, 0.468729
7.000000, 0.113770, 0.113770, 0.445240, 0.445240
7.500000, 0.102051, 0.102051, 0.418600, 0.418600
8.000000, 0.092041, 0.092041, 0.394379, 0.394379
8.500000, 0.083496, 0.083496, 0.376033, 0.376033
9.000000, 0.075684, 0.075684, 0.354508, 0.354508
9.500000, 0.063721, 0.063721, 0.334822, 0.334822
10.000000, 0.056396, 0.056396, 0.313326, 0.313326
10.500000, 0.053223, 0.053223, 0.301140, 0.301140
11.000000, 0.043213, 0.043213, 0.276073, 0.276073
11.500000, 0.032959, 0.032959, 0.262827, 0.262827
12.000000, 0.030029, 0.030029, 0.257151, 0.257151
12.500000, 0.024658, 0.024658, 0.242538, 0.242538
13.000000, 0.014404, 0.014404, 0.220708, 0.220708
13.500000, 0.011963, 0.011963, 0.206883, 0.206883
14.000000, 0.009033, 0.009033, 0.205031, 0.205031
14.500000, 0.005615, 0.005615, 0.181243, 0.181243
15.000000, 0.004150, 0.004150, 0.179775, 0.179775
15.500000, 0.001953, 0.001953, 0.168494, 0.168494
16.000000, 0.002686, 0.002686, 0.161354, 0.161354
16.500000, 0.000977, 0.000977, 0.151164, 0.151164
17.000000, 0.000244, 0.000244, 0.140263, 0.140263
17.500000, 0.000488, 0.000488, 0.132495, 0.132495
18.000000, 0.000000, 0.000000, 0.122650, 0.122650
18.500000, 0.000000, 0.000000, 0.117664, 0.117664
19.000000, 0.000000, 0.000000, 0.111958, 0.111958
19.500000, 0.000000, 0.000000, 0.108998, 0.108998
20.000000, 0.000000, 0.000000, 0.100392, 0.100392
20.500000, 0.000000, 0.000000, 0.095232, 0.095232
21.000000, 0.000000, 0.000000, 0.090178, 0.090178
21.500000, 0.000000, 0.000000, 0.085901, 0.085901
22.000000, 0.000000, 0.000000, 0.079188, 0.079188
22.500000, 0.000000, 0.000000, 0.073487, 0.073487
23.000000, 0.000000, 0.000000, 0.069760, 0.069760
23.500000, 0.000000, 0.000000, 0.067915, 0.067915
24.000000, 0.000000, 0.000000, 0.064336, 0.064336
24.500000, 0.000000, 0.000000, 0.060542, 0.060542
25.000000, 0.000000, 0.000000, 0.055680, 0.055680
