SNR_dB, BER_my, BER_matlab, EVM_my, EVM_matlab
0.000000, 0.241536, 0.241536, 1.007675, 1.007675
0.500000, 0.222656, 0.222656, 0.954593, 0.954593
1.000000, 0.229167, 0.229167, 0.894518, 0.894518
1.500000, 0.207682, 0.207682, 0.840337, 0.840337
2.000000, 0.197266, 0.197266, 0.809248, 0.809248
2.500000, 0.171875, 0.171875, 0.723952, 0.723952
3.000000, 0.173177, 0.173177, 0.713259, 0.713259
3.500000, 0.151042, 0.151042, 0.670882, 0.670882
4.000000, 0.133464, 0.133464, 0.621834, 0.621834
4.500000, 0.136393, 0.136393, 0.604135, 0.604135
5.000000, 0.111328, 0.111328, 0.575698, 0.575698
5.500000, 0.101888, 0.101888, 0.529145, 0.529145
6.000000, 0.097982, 0.097982, 0.505637, 0.505637
6.500000, 0.080078, 0.080078, 0.465469, 0.465469
7.000000, 0.086914, 0.086914, 0.453278, 0.453278
7.500000, 0.058919, 0.058919, 0.416736, 0.416736
8.000000, 0.056315, 0.056315, 0.396898, 0.396898
8.500000, 0.049805, 0.049805, 0.381747, 0.381747
9.000000, 0.049479, 0.049479, 0.361886, 0.361886
9.500000, 0.035482, 0.035482, 0.341076, 0.341076
10.000000, 0.029948, 0.029948, 0.312259, 0.312259
10.500000, 0.026042, 0.026042, 0.296293, 0.296293
11.000000, 0.019206, 0.019206, 0.276757, 0.276757
11.500000, 0.012370, 0.012370, 0.269814, 0.269814
12.000000, 0.011068, 0.011068, 0.248380, 0.248380
12.500000, 0.006836, 0.006836, 0.238993, 0.238993
13.000000, 0.003581, 0.003581, 0.221746, 0.221746
13.500000, 0.002279, 0.002279, 0.203799, 0.203799
14.000000, 0.000651, 0.000651, 0.199462, 0.199462
14.500000, 0.000651, 0.000651, 0.189913, 0.189913
15.000000, 0.000977, 0.000977, 0.180240, 0.180240
15.500000, 0.000326, 0.000326, 0.168730, 0.168730
16.000000, 0.000326, 0.000326, 0.161717, 0.161717
16.500000, 0.000000, 0.000000, 0.156567, 0.156567
17.000000, 0.000000, 0.000000, 0.137901, 0.137901
17.500000, 0.000000, 0.000000, 0.131949, 0.131949
18.000000, 0.000000, 0.000000, 0.121847, 0.121847
18.500000, 0.000000, 0.000000, 0.119308, 0.119308
19.000000, 0.000000, 0.000000, 0.112164, 0.112164
19.500000, 0.000000, 0.000000, 0.105246, 0.105246
20.000000, 0.000000, 0.000000, 0.099398, 0.099398
20.500000, 0.000000, 0.000000, 0.092588, 0.092588
21.000000, 0.000000, 0.000000, 0.089531, 0.089531
21.500000, 0.000000, 0.000000, 0.086077, 0.086077
22.000000, 0.000000, 0.000000, 0.078437, 0.078437
22.500000, 0.000000, 0.000000, 0.073932, 0.073932
23.000000, 0.000000, 0.000000, 0.072520, 0.072520
23.500000, 0.000000, 0.000000, 0.068511, 0.068511
24.000000, 0.000000, 0.000000, 0.062944, 0.062944
24.500000, 0.000000, 0.000000, 0.058630, 0.058630
25.000000, 0.000000, 0.000000, 0.055559, 0.055559
